,聲韻,,聲調,字元,字數,,,,,,
541,kaʔ,,陰入5,"夾, 裌, 格, 隔, 膈, 骼, 䇲, 䀫",8,,,,,,
542,kuaʔ,,陰入5,"括, 刮, 曠, 摑",4,,,,,,
543,koʔ,,陰入5,"覺, 各, 閣, 擱, 胳, 郭, 廓, 角, 國, 穀, 谷, 幗, 桷, 鉻, 䀰",15,,,,,,
544,kəʔ,,陰入5,"合, 蛤, 割, 葛, 胳, 鶴, 革, 佮, 嗝, 疙",10,,,,,,
545,kuəʔ,,陰入5,"骨, 汩",2,,,,,,
577,kʰaʔ,,陰入5,"恰, 掐, 客",3,,,,,,
578,kʰoʔ,,陰入5,"窟, 廓, 殼, 哭, 酷",5,,,,,,
579,kʰəʔ,,陰入5,"咳, 磕, 渴, 刻, 克, 拷, 瞌, 搕",8,,,,,,
580,kʰuəʔ,,陰入5,"闊, 窟, 擴",3,,,,,,
633,haʔ,,陰入5,"嚇, 喝, 瞎, 呷",4,,,,,,
634,huaʔ,,陰入5,"豁, 奯",2,,,,,,
635,hoʔ,,陰入5,"忽, 霍, 藿, 塾, 淴",5,,,,,,
636,həʔ,,陰入5,"喝, 郝, 黑, 赫",4,,,,,,
637,huəʔ,,陰入5,寣,1,,,,,,
2,yŋ,,陰去35,"允, 熨, 蘊, 醖",4,,,,,,
4,i,,陰去35,"倚, 椅, 易, 已, 以, 意, 掩, 魘, 厭, 雁, 晏, 演, 堰, 燕, 嚥, 宴, 憶, 億, 臆, 詣, 癔, 鼴, 屹, 苡, 薏",25,,,,,,
6,u,,陰去35,"涴, 午, 汚",3,,,,,,
8,a,,陰去35,矮,1,,,,,,
10,ia,,陰去35,"雅, 啞, 訝, 迓",4,,,,,,
13,o,,陰去35,啞,1,,,,piŋ,陰平53,
15,ɔ,,陰去35,"襖, 奧, 媼, 澳, 拗, 墺",6,,,,pʰiŋ,陰平53,"拚, 姘, 拼, 乒"
17,iɔ,,陰去35,"要, 闄",2,,,,biŋ,陽去13,
19,ɤ,,陰去35,"嘔, 漚, 慪, 傴",4,,,,,,
21,iɤ,,陰去35,幼,1,,,,,,
23,e,,陰去35,"愛, 藹, 隘, 晏, 靄, 曖, 璦",7,,,,,,
25,ue,,陰去35,"倭, 會, 委, 餧, 畏, 慰, 幻, 患, 挽, 綰, 尉, 痿",12,,,,,,
27,ø,,陰去35,"暗, 諳, 黯",3,,,,,,
28,uø,,陰去35,"緩, 皖, 豌, 剜, 碗, 腕, 宛, 惋, 浣, 蜿, 婉, 菀",12,,,,,,
30,yø,,陰去35,"怨, 苑",2,,,,,,
33,iã,,陰去35,映,1,,,,,,
36,ɑ̃,,陰去35,盎,1,,,,,,
38,uɑ̃,,陰去35,"枉, 往",2,,,,,,
41,iŋ,,陰去35,"飲, 洇, 印, 隱, 應, 影, 映, 癮, 瀴",9,,,,,,
43,uəŋ,,陰去35,穩,1,,,,,,
45,oŋ,,陰去35,"甕, 䐥, 齆",3,,,,,,
46,ioŋ,,陰去35,"允, 熨, 永, 泳, 詠, 雍, 癰, 擁, 甬, 勇, 湧, 㙲, 蛹, 醞, 臃, 踴, 俑, 恿, 邕, 藴",20,,,,,,
58,pi,,陰去35,"蔽, 閉, 箅, 彼, 臂, 鄙, 比, 祕, 泌, 貶, 變, 扁, 匾, 遍, 匕, 妣",16,,,,,,
60,pu,,陰去35,"補, 譜, 布, 佈, 怖",5,,,,,,
62,pa,,陰去35,"把, 霸, 欛, 壩, 垻, 拜, 擺, 靶, 湃",9,,,,,,
64,po,,陰去35,"把, 霸, 欛, 壩, 垻, 靶",6,,,,,,
66,pɔ,,陰去35,"褒, 保, 堡, 寶, 報, 飽, 豹, 爆, 葆, 褓, 鴇, 趵",12,,,,,,
68,piɔ,,陰去35,"表, 錶, 婊",3,,,,,,
70,pe,,陰去35,"貝, 背, 扮, 瓣, 板, 版, 阪, 狽, 鋇",9,,,,,,
72,pø,,陰去35,"半, 判",2,,,,,,
74,pã,,陰去35,"迸, 泵",2,,,,,,
76,pɑ̃,,陰去35,"榜, 謗, 綁, 膀, 磅, 鎊, 蒡",7,,,,,,
78,pəŋ,,陰去35,"本, 苯",2,,,,,,
80,piŋ,,陰去35,"稟, 丙, 秉, 柄, 餅, 併, 炳, 摒, 擯, 鈵",10,,,,,,
86,pʰi,,陰去35,"譬, 庇, 屁, 否, 騙, 片, 痞, 媲, 蚍",9,,,,,,
88,pʰu,,陰去35,"破, 鋪, 譜, 普, 浦, 剖, 叵, 圃, 溥",9,,,,,,
89,pʰa,,陰去35,"怕, 派",2,,,,,,
90,pʰo,,陰去35,怕,1,,,,,,
92,pʰɔ,,陰去35,"泡, 炮, 皰",3,,,,,,
94,pʰiɔ,,陰去35,"漂, 票",2,,,,,,
95,pʰɤ,,陰去35,剖,1,,,,,,
97,pʰe,,陰去35,"配, 盼, 襻, 鋬",4,,,,,,
99,pʰɑ̃,,陰去35,"肨, 髈",2,,,,,,
102,pʰiŋ,,陰去35,"品, 聘, 牝",3,,,,,,
