,聲韻,,聲調,字元,字數,,,,,,
18,ɤ,,陰平53,"區, 歐, 甌, 毆, 謳, 鷗, 傴",7,,,,,,
20,iɤ,,陰平53,"憂, 優, 悠, 幽, 攸",5,,,,,,
22,e,,陰平53,"哀, 埃, 挨",3,,,,,,
24,ue,,陰平53,"煨, 萎, 餧, 威, 彎, 灣, 偎",7,,,,,,
26,ø,,陰平53,"庵, 安, 鞍, 按, 案, 鵪, 氨, 銨",8,,,,,,
29,yø,,陰平53,"冤, 淵, 鴛",3,,,,,,
31,ã,,陰平53,"鸚, 櫻",2,,,,,,
32,iã,,陰平53,"央, 秧, 殃, 鴦, 泱, 怏",6,,,,,,
34,uã,,陰平53,橫,1,,,,,,
35,ɑ̃,,陰平53,骯,1,,,,,,
37,uɑ̃,,陰平53,汪,1,,,,,,
39,əŋ,,陰平53,"恩, 嗯",2,,,,,,
40,iŋ,,陰平53,"音, 陰, 蔭, 因, 姻, 殷, 尹, 應, 鷹, 蠅, 鶯, 鸚, 櫻, 英, 嬰, 纓, 唁, 茵, 罌, 膺, 縈, 瑛, 氤, 痏",24,,,,,,
42,uəŋ,,陰平53,"溫, 瘟, 蘊",3,,,,,,
44,oŋ,,陰平53,"翁, 嗡, 蕹",3,,,,,,
56,m̍,,陰平53,"拇, 姆",2,,,,,,
57,pi,,陰平53,"蓖, 篦, 鞭, 編, 邊, 蝙, 屄, 鯿, 砭, 煸",10,,,,,,
59,pu,,陰平53,"波, 菠, 玻, 跛, 簸, 播",6,,,,,,
61,pa,,陰平53,"巴, 芭, 疤, 爸, 叭, 笆",6,,,,,,
63,po,,陰平53,"巴, 芭, 疤, 笆",4,,,,,,
65,pɔ,,陰平53,"褒, 包, 胞, 苞",4,,,,,,
67,piɔ,,陰平53,"臕, 標, 錶, 彪, 鑣, 飆, 鏢",7,,,,,,
69,pe,,陰平53,"杯, 輩, 碑, 卑, 彼, 悲, 班, 斑, 頒, 扳, 般, 擘, 瘢, 裨, 螌",15,,,,,,
71,pø,,陰平53,"搬, 潘",2,,,,,,
73,pã,,陰平53,"崩, 浜, 姘, 繃",4,,,,,,
75,pɑ̃,,陰平53,"幫, 邦, 梆",3,,,,,,
77,pəŋ,,陰平53,"奔, 崩, 賁, 畚",4,,,,,,
79,piŋ,,陰平53,"彬, 賓, 檳, 殯, 鬢, 冰, 兵, 斌, 濱, 繽",10,,,,,,
85,pʰi,,陰平53,"批, 披, 丕, 篇, 偏, 砒, 翩, 紕",8,,,,,,
87,pʰu,,陰平53,"頗, 坡, 鋪",3,,,,,,
91,pʰɔ,,陰平53,"拋, 脬",2,,,,,,
93,pʰiɔ,,陰平53,"飄, 漂, 瞟",3,,,,,,
96,pʰe,,陰平53,"沛, 胚, 坯, 丕, 攀",5,,,,,,
98,pʰã,,陰平53,乓,1,,,,,,
100,pʰəŋ,,陰平53,"噴, 烹, 砰, 抨, 怦",5,,,,,,
101,pʰiŋ,,陰平53,"拚, 姘, 拼, 乒",4,,,,,,
125,mi,,陰平53,"瞇, 咪",2,,,,,,
128,mu,,陰平53,拇,1,,,,,,
130,ma,,陰平53,媽,1,,,,,,
132,mo,,陰平53,嬤,1,,,,,,
134,mɔ,,陰平53,貓,1,,,,,,
136,miɔ,,陰平53,瞄,1,,,,,,
145,məŋ,,陰平53,悶,1,,,,,,
150,moŋ,,陰平53,蒙,1,,,,,,
156,fi,,陰平53,"非, 飛, 妃, 疿, 翡, 菲, 啡, 沸, 緋, 扉, 霏",11,,,,,,
158,fu,,陰平53,"夫, 敷, 俘, 麩, 孚",5,,,,,,
161,fe,,陰平53,"翻, 番, 幡",3,,,,,,
163,fɑ̃,,陰平53,"方, 肪, 芳, 坊, 枋",5,,,,,,
165,fəŋ,,陰平53,"分, 芬, 紛, 吩, 氛, 畚",6,,,,,,
167,foŋ,,陰平53,"風, 楓, 瘋, 豐, 諷, 封, 峯, 蜂, 鋒, 烽",10,,,,,,
183,ti,,陰平53,"低, 掂, 顛, 踮, 巔, 癲, 羝",7,,,,,,
185,tu,,陰平53,"多, 都, 嘟",3,,,,,,
188,tia,,陰平53,爹,1,,,,,,
190,tɔ,,陰平53,"刀, 叨",2,,,,,,
192,tiɔ,,陰平53,"刁, 貂, 雕, 凋",4,,,,,,
194,tɤ,,陰平53,"兜, 篼",2,,,,,,
196,tiɤ,,陰平53,丟,1,,,,,,
197,te,,陰平53,"獃, 堆, 耽, 擔, 丹, 單, 歹, 眈, 鄲, 殫, 簞",11,,,,,,
199,tø,,陰平53,端,1,,,,,,
202,tɑ̃,,陰平53,"當, 鐺, 襠, 噹, 璫",5,,,,,,
204,təŋ,,陰平53,"吞, 敦, 墩, 蹲, 登, 燈, 瞪, 蹬, 礅, 驐",10,,,,,,
206,tiŋ,,陰平53,"丁, 釘, 疔, 叮, 盯, 仃",6,,,,,,
208,toŋ,,陰平53,"東, 冬",2,,,,,,
214,tʰi,,陰平53,"梯, 添, 天, 銻",4,,,,,,
216,tʰu,,陰平53,拖,1,,,,,,
218,tʰa,,陰平53,"拖, 他, 她, 它",4,,,,,,
220,tʰɔ,,陰平53,"叨, 滔, 濤, 韜, 縚, 饕",6,,,,,,
222,tʰiɔ,,陰平53,"挑, 眺, 祧, 佻",4,,,,,,
224,tʰɤ,,陰平53,偷,1,,,,,,
226,tʰe,,陰平53,"胎, 苔, 推, 坍, 毯, 灘, 攤, 癱",8,,,,,,
228,tʰø,,陰平53,"貪, 湍",2,,,,,,
231,tʰɑ̃,,陰平53,湯,1,,,,,,
234,tʰiŋ,,陰平53,"聽, 廳, 汀",3,,,,,,
236,tʰoŋ,,陰平53,"通, 蓪",2,,,,,,
258,ni,,陰平53,你,1,,,,,,
260,na,,陰平53,"那, 拿",2,,,,,,
262,no,,陰平53,拿,1,,,,,,
265,ne,,陰平53,"拿, 乃",2,,,,,,
267,nø,,陰平53,囡,1,,,,,,
271,noŋ,,陰平53,弄,1,,,,,,
277,lu,,陰平53,"櫓, 嚕, 攎",3,,,,,,
280,la,,陰平53,拉,1,,,,,,
282,lɔ,,陰平53,"撈, 嘮",2,,,,,,
284,liɔ,,陰平53,"撩, 尥, 摷",3,,,,,,
287,liɤ,,陰平53,溜,1,,,,,,
293,lɑ̃,,陰平53,誏,1,,,,,,
295,ləŋ,,陰平53,"扔, 愣, 掄",3,,,,,,
297,liŋ,,陰平53,拎,1,,,,,,
299,loŋ,,陰平53,弄,1,,,,,,
306,ʦɿ,,陰平53,"豬, 諸, 誅, 蛛, 株, 朱, 硃, 珠, 知, 蜘, 智, 支, 枝, 肢, 梔, 資, 姿, 咨, 脂, 茲, 滋, 輜, 芝, 孳, 孜, 吱, 茱, 淄, 齜, 侏, 髭, 錙",32,,,,,,
308,ʦu,,陰平53,租,1,,,,,,
310,ʦa,,陰平53,"渣, 齋, 抓",3,,,,,,
312,ʦo,,陰平53,"查, 渣, 遮, 抓, 摣",5,,,,,,
314,ʦɔ,,陰平53,"遭, 糟, 抓, 朝, 昭, 招, 沼, 搔, 釗",9,,,,,,
316,ʦɤ,,陰平53,"晝, 鄒, 周, 舟, 州, 洲, 謅",7,,,,,,
318,ʦe,,陰平53,"災, 栽, 再, 齋, 寨, 盞, 崽, 哉, 仔, 劗",10,,,,,,
320,ʦø,,陰平53,"追, 錐, 簪, 沾, 瞻, 占, 氈, 鑽, 專, 磚, 詹",11,,,,,,
322,ʦã,,陰平53,"張, 爭, 睜",3,,,,,,
324,ʦɑ̃,,陰平53,"贓, 髒, 莊, 裝, 章, 樟, 樁, 妝, 蟑, 獐, 臧, 彰, 漳, 璋",14,,,,,,
326,ʦəŋ,,陰平53,"針, 斟, 珍, 榛, 臻, 眞, 診, 尊, 遵, 肫, 曾, 增, 憎, 蒸, 爭, 箏, 睜, 貞, 偵, 正, 征, 砧, 掙, 甑, 禎, 甄, 猙, 諄, 箴, 樽, 楨, 㲀",32,,,,,,
328,ʦoŋ,,陰平53,"椶, 鬃, 宗, 中, 忠, 終, 蹤, 鐘, 鍾, 樅, 衷, 翪",12,,,,,,
333,ʦʰɿ,,陰平53,"差, 雌, 疵, 此, 眵, 癡, 嗤, 吹, 笞, 鴟, 魑, 粢",12,,,,,,
335,ʦʰu,,陰平53,"搓, 粗, 錯, 初, 蹉, 磋",6,,,,,,
337,ʦʰa,,陰平53,"叉, 杈, 差, 釵, 詫",5,,,,,,
339,ʦʰo,,陰平53,"搓, 叉, 杈, 差, 車, 錯, 釵, 詫",8,,,,,,
341,ʦʰɔ,,陰平53,"操, 抄, 鈔, 超",4,,,,,,
343,ʦʰɤ,,陰平53,抽,1,,,,,,
345,ʦʰe,,陰平53,"攙, 潺",2,,,,,,
347,ʦʰø,,陰平53,"猜, 催, 崔, 揣, 吹, 炊, 參, 餐, 汆, 竄, 川, 穿, 串, 攛, 摧, 躥",16,,,,,,
349,ʦʰã,,陰平53,"撐, 昶",2,,,,,,
351,ʦʰɑ̃,,陰平53,"倉, 蒼, 瘡, 昌, 菖, 倡, 窗, 艙, 猖, 滄, 鯧, 閶",12,,,,,,
353,ʦʰəŋ,,陰平53,"參, 村, 皴, 春, 樁, 稱, 琛, 嗔, 瞠, 瞋",10,,,,,,
355,ʦʰoŋ,,陰平53,"聰, 怱, 葱, 囪, 充, 從, 衝, 舂, 忡, 憧",10,,,,,,
360,sɿ,,陰平53,"梳, 書, 舒, 樞, 輸, 篩, 斯, 廝, 撕, 施, 私, 師, 獅, 尸, 屍, 司, 絲, 思, 詩, 螄, 抒, 嘶, 鷥, 紓",24,,,,,,
362,su,,陰平53,"蓑, 梭, 蘇, 酥, 疏, 蔬, 穌, 囌",8,,,,,,
364,sa,,陰平53,"莎, 沙, 紗, 篩, 娑, 砂, 鯊, 裟, 釃",9,,,,,,
366,so,,陰平53,"莎, 沙, 紗, 賒, 娑, 砂, 痧, 鯊, 裟",9,,,,,,
368,sɔ,,陰平53,"騷, 臊, 梢, 捎, 稍, 燒, 艄, 哨, 筲, 艘",10,,,,,,
370,sɤ,,陰平53,"搜, 颼, 餿, 蒐, 收, 艘, 溲",7,,,,,,
372,se,,陰平53,"腮, 鰓, 衰, 三, 杉, 衫, 珊, 山, 删, 疝, 率, 舢, 訕, 汕, 姍, 芟, 叁",17,,,,,,
374,sø,,陰平53,"奢, 雖, 酸, 閂, 拴, 栓, 痠",7,,,,,,
376,sã,,陰平53,"生, 牲, 甥, 聲",4,,,,,,
378,sɑ̃,,陰平53,"桑, 喪, 霜, 孀, 商, 傷, 雙, 墒",8,,,,,,
380,səŋ,,陰平53,"參, 森, 深, 身, 申, 伸, 孫, 僧, 升, 生, 牲, 笙, 甥, 聲, 紳, 呻, 猻",17,,,,,,
382,soŋ,,陰平53,"鬆, 嵩, 松, 淞",4,,,,,,
403,ʨyŋ,,陰平53,"均, 鈞, 窘, 君, 軍, 皸, 峻, 駿, 竣",9,,,,,,
404,ʨi,,陰平53,"雞, 稽, 飢, 肌, 几, 基, 幾, 機, 譏, 饑, 旣, 監, 尖, 殲, 兼, 搛, 艱, 間, 奸, 煎, 箋, 肩, 堅, 箕, 羈, 嗟, 姬, 嘰, 磯, 嵇, 菅, 乩, 蒹, 朞",34,,,,,,
406,ʨy,,陰平53,"車, 居, 拘, 駒, 龜, 疽, 琚, 裾",8,,,,,,
408,ʨia,,陰平53,"家, 加, 嘉, 傢, 皆, 階, 佳, 枷, 笳, 袈, 喈",11,,,,,,
410,ʨiɔ,,陰平53,"交, 郊, 膠, 焦, 蕉, 椒, 驕, 嬌, 澆, 繳, 糾, 礁, 蛟",13,,,,,,
412,ʨiɤ,,陰平53,"揫, 鳩, 鬮, 糾, 究, 赳, 啾",7,,,,,,
414,ʨie,,陰平53,"械, 監, 奸",3,,,,,,
416,ʨyø,,陰平53,"捐, 鵑, 娟, 涓",4,,,,,,
418,ʨiã,,陰平53,"將, 漿, 疆, 僵, 薑, 礓, 繮, 姜, 江",9,,,,,,
420,ʨiŋ,,陰平53,"今, 金, 襟, 津, 巾, 斤, 筋, 莖, 京, 荆, 驚, 精, 晶, 睛, 經, 矜, 旌, 兢, 菁, 涇",20,,,,,,
422,ʨioŋ,,陰平53,"均, 鈞, 君, 軍, 皸, 龔, 炯",7,,,,,,
428,ʨʰi,,陰平53,"蛆, 妻, 棲, 溪, 欺, 豈, 殲, 籤, 簽, 謙, 遷, 箋, 千, 牽, 韃, 騫, 淒, 仟, 阡, 扡, 釺, 萋, 芊, 僉, 槧, 㹂",26,,,,,,
430,ʨʰy,,陰平53,"蛆, 趨, 區, 驅, 虧, 軀, 嶇, 祛",8,,,,,,
433,ʨʰiɔ,,陰平53,"敲, 鍬, 繰, 悄, 撬, 蹺, 橇",7,,,,,,
435,ʨʰiɤ,,陰平53,"揫, 秋, 鞦, 丘, 鰍, 蚯, 邱, 恘",8,,,,,,
436,ʨʰyø,,陰平53,圈,1,,,,,,
438,ʨʰiã,,陰平53,"槍, 羌, 腔, 鏘",4,,,,,,
440,ʨʰiŋ,,陰平53,"侵, 欽, 親, 卿, 清, 輕, 青, 蜻, 傾, 氫, 氰, 衾, 鯖",13,,,,,,
442,ʨʰioŋ,,陰平53,穹,1,,,,,,
460,ȵi,,陰平53,"粘, 拈, 碾, 撚, 攆, 研, 妍, 抳, 蹍",9,,,,,,
465,ȵiɤ,,陰平53,"扭, 妞",2,,,,,,
469,ȵiã,,陰平53,孃,1,,,,,,
478,ɕyŋ,,陰平53,"熏, 勳, 薰, 醺",4,,,,,,
480,ɕi,,陰平53,"些, 絮, 西, 犀, 奚, 兮, 畦, 犧, 嬉, 熙, 希, 稀, 髓, 妗, 仙, 鮮, 軒, 掀, 先, 宣, 喧, 圾, 纖, 秈, 嘻, 熹, 羲, 曦, 暹, 胥, 萱, 粞, 揎",33,,,,,,
482,ɕy,,陰平53,"絮, 墟, 虛, 嘘, 須, 鬚, 需, 吁, 胥",9,,,,,,
485,ɕiɔ,,陰平53,"消, 宵, 霄, 硝, 銷, 鞘, 枵, 囂, 蕭, 簫, 肖, 逍, 瀟, 嘯, 梟",15,,,,,,
487,ɕiɤ,,陰平53,"修, 羞, 休",3,,,,,,
489,ɕyø,,陰平53,"靴, 宣, 喧, 楦, 萱, 揎, 䚭, 㧦",8,,,,,,
490,ɕiã,,陰平53,"相, 箱, 廂, 湘, 襄, 鑲, 香, 鄉",8,,,,,,
492,ɕiŋ,,陰平53,"心, 掀, 辛, 新, 薪, 興, 蜻, 星, 腥, 馨, 芯, 惶, 莘, 鋅, 鑫, 猩, 眚, 歆",18,,,,,,
494,ɕioŋ,,陰平53,"熏, 勳, 薰, 兄, 胸, 凶, 兇, 醺, 洶, 匈, 訩",11,,,,,,
510,ku,,陰平53,"歌, 哥, 鍋, 戈, 姑, 孤, 箍, 菇, 辜, 沽, 蛄, 鴣",12,,,,,,
512,ka,,陰平53,"家, 加, 痂, 嘉, 傢, 階, 芥, 街, 枷, 笳, 咖, 伽, 袈",13,,,,,,
514,kua,,陰平53,"瓜, 乖",2,,,,,,
516,ko,,陰平53,瓜,1,,,,,,
518,kɔ,,陰平53,"高, 膏, 篙, 羔, 糕, 告, 交, 膠, 茭, 皋, 鮫",11,,,,,,
520,kɤ,,陰平53,"勾, 鉤, 溝, 佝, 篝",5,,,,,,
522,ke,,陰平53,"該, 尷, 監, 間, 奸, 賅",6,,,,,,
523,kue,,陰平53,"圭, 規, 龜, 歸, 關, 瑰, 硅",7,,,,,,
525,kø,,陰平53,"甘, 柑, 泔, 肝, 竿, 乾, 坩",7,,,,,,
527,kuø,,陰平53,"官, 棺, 觀, 冠, 倌",5,,,,,,
529,kã,,陰平53,"更, 粳, 庚, 羹",4,,,,,,
531,kuã,,陰平53,光,1,,,,,,
532,kɑ̃,,陰平53,"岡, 剛, 綱, 鋼, 缸, 江, 扛, 豇, 肛",9,,,,,,
534,kuɑ̃,,陰平53,"光, 胱, 洸",3,,,,,,
536,kəŋ,,陰平53,"跟, 根, 更, 耕, 賡",5,,,,,,
539,koŋ,,陰平53,"公, 蚣, 工, 功, 攻, 弓, 躬, 宫, 恭, 供, 龔, 肱, 疘",13,,,,,,
546,kʰu,,陰平53,"科, 窠, 棵, 枯, 庫, 苛, 柯, 蝌, 骷, 軻, 稞, 髁",12,,,,,,
548,kʰa,,陰平53,揩,1,,,,,,
550,kʰua,,陰平53,誇,1,,,,,,
552,kʰo,,陰平53,誇,1,,,,,,
554,kʰɔ,,陰平53,敲,1,,,,,,
556,kʰɤ,,陰平53,"摳, 瞘",2,,,,,,
558,kʰe,,陰平53,"開, 堪, 龕, 鉛, 戡",5,,,,,,
560,kʰue,,陰平53,"盔, 魁, 筷, 奎, 虧, 窺",6,,,,,,
562,kʰø,,陰平53,看,1,,,,,,
564,kʰuø,,陰平53,"寬, 髖",2,,,,,,
566,kʰã,,陰平53,坑,1,,,,,,
567,kʰɑ̃,,陰平53,"康, 糠, 炕, 坑",4,,,,,,
569,kʰuɑ̃,,陰平53,"桄, 匡, 筐, 眶, 框",5,,,,,,
571,kʰəŋ,,陰平53,鏗,1,,,,,,
573,kʰuəŋ,,陰平53,"昆, 崑, 坤, 琨, 鯤",5,,,,,,
575,kʰoŋ,,陰平53,"空, 箜",2,,,,,,
592,ŋu,,陰平53,我,1,,,,,,
594,ŋa,,陰平53,"砑, 捱",2,,,,,,
605,hu,,陰平53,"呼, 乎",2,,,,,,
607,ha,,陰平53,,1,,,,,,
609,hua,,陰平53,"花, 歪, 嘩",3,,,,,,
611,ho,,陰平53,"蝦, 花, 華, 呵",4,,,,,,
613,hɔ,,陰平53,"薅, 嵩",2,,,,,,
615,hɤ,,陰平53,"吼, 齁, 呴",3,,,,,,
617,he,,陰平53,䫲,1,,,,,,
619,hue,,陰平53,"恢, 灰, 麾, 揮, 輝, 徽, 詼, 暉",8,,,,,,
621,hø,,陰平53,"蝦, 蚶, 酣, 鼾",4,,,,,,
623,huø,,陰平53,歡,1,,,,,,
625,hã,,陰平53,"夯, 亨, 哼",3,,,,,,
626,huɑ̃,,陰平53,"荒, 慌, 黃, 肓",4,,,,,,
628,həŋ,,陰平53,哼,1,,,,,,
630,huəŋ,,陰平53,"昏, 婚, 葷",3,,,,,,
631,hoŋ,,陰平53,"轟, 揈, 烘, 閧, 薨",5,,,,,,
641,ɦy,,陰平53,"於, 淤, 迂, 瘀",4,,,,,,
121,baʔ,,陽入1,"拔, 白, 帛, 跋",4,,,,,,
122,boʔ,,陽入1,"薄, 縛, 僕, 曝, 瀑, 匐, 箔, 䞳",8,,,,,,
123,bəʔ,,陽入1,"別, 鈸, 勃, 脖, 渤, 鵓, 孛",7,,,,,,
124,biɪʔ,,陽入1,"枇, 別, 憋, 弼, 蹩, 愎",6,,,,,,
152,maʔ,,陽入1,"襪, 陌, 麥, 脈",4,,,,,,
153,moʔ,,陽入1,"莫, 膜, 寞, 摸, 木, 目, 穆, 牧, 漠, 沐, 睦, 苜",12,,,,,,
154,məʔ,,陽入1,"抹, 末, 沫, 沒, 物, 墨, 默, 茉, 歿",9,,,,,,
155,miɪʔ,,陽入1,"滅, 篾, 密, 蜜, 覓, 蔑, 汨, 搣, 冪",9,,,,,,
180,vaʔ,,陽入1,"乏, 伐, 筏, 罰, 閥",5,,,,,,
181,voʔ,,陽入1,"復, 縛, 複, 服, 伏, 袱, 茯",7,,,,,,
182,vəʔ,,陽入1,"佛, 物, 勿, 弗, 拂, 氟",6,,,,,,
213,tiɪʔ,,陽入1,"跌, 摘, 的, 滴, 嫡, 鏑, 擿, 扚",8,,,,,,
254,daʔ,,陽入1,"踏, 達, 撻, 闥, 䈳",5,,,,,,
255,doʔ,,陽入1,"鐸, 踱, 獨, 讀, 牘, 犢, 毒, 瀆, 櫝, 黷",10,,,,,,
256,dəʔ,,陽入1,"疊, 奪, 突, 特, 凸",5,,,,,,
257,diɪʔ,,陽入1,"疊, 碟, 牒, 蝶, 諜, 笛, 敵, 狄, 糴, 迭, 翟, 荻, 迪, 滌",14,,,,,,
273,naʔ,,陽入1,"納, 捺, 呐, 鈉, 衲",5,,,,,,
274,noʔ,,陽入1,諾,1,,,,,,
275,nəʔ,,陽入1,"納, 訥",2,,,,,,
301,laʔ,,陽入1,"臘, 蠟, 獵, 辣, 瘌, 邋, 剌",7,,,,,,
302,liaʔ,,陽入1,"略, 掠",2,,,,,,
303,loʔ,,陽入1,"賂, 落, 烙, 駱, 酪, 洛, 絡, 樂, 鹿, 祿, 六, 陸, 綠, 錄, 漉, 碌, 戮, 麓, 氯, 轆, 盝, 熝, 䃙",23,,,,,,
304,ləʔ,,陽入1,"捋, 肋, 勒",3,,,,,,
305,liɪʔ,,陽入1,"荔, 立, 笠, 粒, 列, 烈, 裂, 劣, 栗, 律, 率, 力, 歷, 曆, 櫟, 瀝, 捩, 冽, 礫, 靂, 溧, 蒞, 僳, 櫪",24,,,,,,
400,zaʔ,,陽入1,"雜, 閘, 煠, 鍘, 着, 芍, 若, 弱, 宅, 擲, 石, 碩, 砸",13,,,,,,
401,zoʔ,,陽入1,"射, 續, 鑿, 昨, 勺, 啄, 濁, 鐲, 族, 逐, 熟, 淑, 俗, 贖, 蜀, 屬, 辱, 妯, 孰, 躅",20,,,,,,
402,zəʔ,,陽入1,"涉, 蟄, 十, 什, 拾, 入, 蜇, 折, 舌, 姪, 秩, 實, 日, 朮, 術, 述, 賊, 直, 值, 食, 蝕, 殖, 澤, 擇, 擲, 哉, 躑",27,,,,,,
457,ʥioʔ,,陽入1,"拙, 倔, 屐, 軸, 局, 崛, 撅, 䞷",8,,,,,,
458,ʥiɪʔ,,陽入1,"及, 傑, 極, 劇, 竭, 笈, 桀",7,,,,,,
459,ʥyɪʔ,,陽入1,"掘, 倔, 屐, 軸, 局, 崛, 撅, 䞷",8,,,,,,
474,ȵiaʔ,,陽入1,"捏, 虐, 瘧, 箬",4,,,,,,
475,ȵioʔ,,陽入1,"月, 肉, 褥, 玉, 縟",5,,,,,,
476,ȵiɪʔ,,陽入1,"聶, 鑷, 躡, 業, 熱, 孽, 日, 匿, 逆, 溺, 齧, 涅, 鎳, 蘖",14,,,,,,
477,ȵyɪʔ,,陽入1,月,1,,,,,,
508,ʑiaʔ,,陽入1,嚼,1,,,,,,
509,ʑiɪʔ,,陽入1,"藉, 捷, 集, 習, 襲, 截, 絕, 疾, 籍, 席, 夕, 寂, 睫, 蒺, 矽",15,,,,,,
589,ɡaʔ,,陽入1,軋,1,,,,,,
590,ɡoʔ,,陽入1,擱,1,,,,,,
591,ɡəʔ,,陽入1,"個, 搿",2,,,,,,
602,ŋaʔ,,陽入1,"額, 齾",2,,,,,,
603,ŋoʔ,,陽入1,"鄂, 鶴, 瘧, 嶽, 岳, 愕, 齶, 鱷, 萼",9,,,,,,
604,ŋəʔ,,陽入1,"杌, 核, 扼, 軛, 厄, 兀",6,,,,,,
668,ɦaʔ,,陽入1,"盒, 狹, 匣, 狎",4,,,,,,
669,ɦiaʔ,,陽入1,"峽, 洽, 挾, 協, 樂, 藥, 鑰, 躍, 學, 俠",10,,,,,,
670,ɦuaʔ,,陽入1,"滑, 猾, 磆",3,,,,,,
671,ɦoʔ,,陽入1,"鑊, 學, 或, 惑, 斛",5,,,,,,
672,ɦioʔ,,陽入1,"悅, 閱, 月, 越, 曰, 粤, 穴, 嶽, 岳, 域, 疫, 役, 育, 獄, 欲, 慾, 浴, 煜, 毓, 聿, 鬻, 鉞",22,,,,,,
673,ɦəʔ,,陽入1,"合, 核, 闔, 劾, 閡",5,,,,,,
674,ɦuəʔ,,陽入1,"活, 核, 獲, 囫",4,,,,,,
675,ɦiɪʔ,,陽入1,"易, 葉, 頁, 逸, 翼, 亦, 譯, 液, 腋, 佚, 奕, 熠, 驛, 軼, 曳, 弈, 翌, 掖, 蜴, 弋, 繹",21,,,,,,
676,ɦyɪʔ,,陽入1,"悅, 閱, 月, 越, 曰, 粤, 穴, 嶽, 岳, 域, 疫, 役, 育, 獄, 欲, 慾, 煜, 毓, 聿, 鬻, 鉞",21,,,,,,
108,bi,,陽去13,"敝, 弊, 幣, 斃, 陛, 鐾, 皮, 疲, 脾, 被, 婢, 避, 琵, 痹, 肥, 便, 辨, 辯, 汴, 辮, 薇, 卞, 啤, 駢, 陂, 弁, 坒, 鮍",28,,,,,,
109,bu,,陽去13,"婆, 薄, 蒲, 菩, 脯, 部, 簿, 步, 捕, 埠, 伏, 葡, 哺, 鄱, 匍, 䈬",16,,,,,,
110,ba,,陽去13,"爬, 琶, 排, 牌, 罷, 稗, 敗, 俳",8,,,,,,
111,bo,,陽去13,"爬, 琶, 杷, 耙, 扒, 䶕",6,,,,,,
112,bɔ,,陽去13,"袍, 抱, 暴, 菢, 跑, 刨, 鮑, 爆, 雹, 曝, 瀑, 咆, 爮",13,,,,,,
113,biɔ,,陽去13,"瓢, 嫖, 鰾, 剽",4,,,,,,
114,be,,陽去13,"培, 陪, 賠, 裴, 倍, 背, 佩, 焙, 被, 備, 疿, 瓣, 辦, 爿, 徘, 蓓, 掊",17,,,,,,
115,bø,,陽去13,"盤, 伴, 拌, 絆, 叛, 磐, 蟠, 槃, 瀊",9,,,,,,
116,bã,,陽去13,"蚌, 朋, 彭, 膨, 棚, 碰, 甏, 澎, 鵬, 硼, 蟛",11,,,,,,
117,bɑ̃,,陽去13,"滂, 旁, 螃, 傍, 防, 彷, 龐, 棒, 膀, 磅, 鳑",11,,,,,,
118,bəŋ,,陽去13,"盆, 笨, 坌",3,,,,,,
119,biŋ,,陽去13,"貧, 頻, 憑, 平, 坪, 評, 病, 瓶, 屏, 萍, 並, 蘋, 顰, 瀕",14,,,,,,
120,boŋ,,陽去13,"篷, 蓬, 鳳, 埲",4,,,,,,
127,mi,,陽去13,"迷, 米, 謎, 糜, 彌, 靡, 眉, 媚, 尾, 未, 味, 綿, 棉, 免, 勉, 娩, 緬, 澠, 面, 眠, 麵, 魅, 麋, 沔, 冕, 嵋, 醚",27,,,,,,
129,mu,,陽去13,"魔, 磨, 摩, 模, 摹, 暮, 慕, 墓, 募, 牡, 蘑",11,,,,,,
131,ma,,陽去13,"馬, 罵, 埋, 買, 賣, 瑪",6,,,,,,
133,mo,,陽去13,"魔, 磨, 摩, 麻, 馬, 碼, 罵, 模, 摹, 暮, 慕, 墓, 募, 幕, 蘑, 螞, 瑪",17,,,,,,
135,mɔ,,陽去13,"毛, 冒, 帽, 茅, 貓, 錨, 卯, 貌, 茂, 貿, 矛, 鉚, 犛, 髦, 瑁, 懋, 耄, 蝥, 泖",19,,,,,,
137,miɔ,,陽去13,"苗, 描, 藐, 渺, 秒, 廟, 妙, 謬, 繆, 瞄, 眇",11,,,,,,
138,mɤ,,陽去13,"某, 畝, 牡, 茂, 貿, 謀, 矛, 眸, 牟, 侔",10,,,,,,
139,miɤ,,陽去13,謬,1,,,,,,
141,me,,陽去13,"邁, 謎, 梅, 枚, 媒, 煤, 每, 妹, 昧, 楣, 黴, 媚, 寐, 蠻, 慢, 漫, 玩, 頑, 晚, 萬, 蔓, 玫, 霾, 謾, 莓, 酶, 魅, 嵋, 袂",29,,,,,,
142,mø,,陽去13,"瞞, 饅, 滿, 鰻",4,,,,,,
143,mã,,陽去13,"猛, 孟, 蜢, 錳, 稝",5,,,,,,
144,mɑ̃,,陽去13,"忙, 芒, 茫, 莽, 蟒, 亡, 網, 忘, 妄, 望, 盲, 虻, 懵, 夢, 氓, 罔, 魍, 硭, 䈍",19,,,,,,
147,məŋ,,陽去13,"門, 蚊, 聞, 問, 萌, 盟, 捫, 懣",8,,,,,,
149,miŋ,,陽去13,"閩, 民, 憫, 敏, 明, 皿, 命, 名, 銘, 岷, 閔, 冥, 溟, 瞑, 茗, 酩, 泯, 暝, 瑉",19,,,,,,
151,moŋ,,陽去13,"蒙, 懵, 蠓, 夢, 檬, 朦, 濛",7,,,,,,
